Vector 1: Weights: [0. 0. 0. 0.], Bias: 0, Count: 0
Vector 93: Weights: [-35.944881 -28.92232  -19.397315  -8.386923], Bias: 28, Count: 23
Vector 94: Weights: [-35.300161 -24.31612  -27.744315  -5.677023], Bias: 27, Count: 211
Vector 95: Weights: [-32.908461 -19.75962  -32.733115  -8.575723], Bias: 28, Count: 11
Vector 96: Weights: [-36.665761 -28.05122  -22.429915  -8.195133], Bias: 29, Count: 37
Vector 97: Weights: [-36.504681 -21.58882  -30.787215  -6.673533], Bias: 28, Count: 27
Vector 98: Weights: [-40.200781 -35.26672  -13.207715  -9.291633], Bias: 29, Count: 12
Vector 99: Weights: [-39.305661 -30.49292  -18.050815 -14.882533], Bias: 30, Count: 1
Vector 100: Weights: [-39.825131 -27.22962  -21.140315 -13.897613], Bias: 29, Count: 113
Vector 101: Weights: [-40.154331 -22.77442  -25.712115 -12.908813], Bias: 28, Count: 1
Vector 102: Weights: [-38.123331 -20.92242  -28.724215 -12.90581 ], Bias: 29, Count: 38
Vector 103: Weights: [-36.105631 -19.12422  -31.682315 -12.69591 ], Bias: 30, Count: 49
Vector 104: Weights: [-36.826311 -25.88252  -25.841515 -12.07222 ], Bias: 31, Count: 6
Vector 105: Weights: [-36.039411 -35.44882  -22.054815  -4.56882 ], Bias: 30, Count: 29
Vector 106: Weights: [-42.375811 -26.16402  -22.04054  -11.35322 ], Bias: 31, Count: 52
Vector 107: Weights: [-40.925711 -22.55732  -26.09624  -12.94982 ], Bias: 32, Count: 3
Vector 108: Weights: [-38.277811 -32.69472  -24.76524   -7.47912 ], Bias: 31, Count: 24
Vector 109: Weights: [-36.083511 -28.14442  -29.74124  -10.20452 ], Bias: 32, Count: 125
Vector 110: Weights: [-36.412751 -23.68922  -34.31304   -9.21572 ], Bias: 31, Count: 6
Vector 111: Weights: [-38.123151 -28.46722  -28.10214   -8.81832 ], Bias: 32, Count: 38
Vector 112: Weights: [-38.642651 -25.20392  -31.19164   -7.83342 ], Bias: 31, Count: 13
Vector 113: Weights: [-41.784951 -38.24042  -15.51434   -8.49507 ], Bias: 32, Count: 2
Vector 114: Weights: [-43.510651 -33.77072  -23.73624   -6.68777 ], Bias: 31, Count: 6
Vector 115: Weights: [-44.440351 -29.97362  -28.37914   -6.39207 ], Bias: 30, Count: 25
Vector 116: Weights: [-42.760451 -25.76682  -32.91894   -8.78517 ], Bias: 31, Count: 20
Vector 117: Weights: [-45.990951 -32.98032  -21.27564   -9.7313  ], Bias: 32, Count: 23
Vector 118: Weights: [-45.346231 -28.37412  -29.62264   -7.0214  ], Bias: 31, Count: 49
Vector 119: Weights: [-43.613131 -24.41972  -34.36384   -9.5231  ], Bias: 32, Count: 35
Vector 120: Weights: [-42.826231 -33.98602  -30.57714   -2.0197  ], Bias: 31, Count: 5
Vector 121: Weights: [-41.318531 -32.02642  -33.63554   -2.14213 ], Bias: 32, Count: 122
Vector 122: Weights: [-38.926831 -27.46992  -38.62434   -5.04083 ], Bias: 33, Count: 21
Vector 123: Weights: [-42.532131 -33.44392  -28.53274   -5.86929 ], Bias: 34, Count: 27
Vector 124: Weights: [-42.371051 -26.98152  -36.89004   -4.34769 ], Bias: 33, Count: 27
Vector 125: Weights: [-46.067151 -40.65942  -19.31054   -6.96579 ], Bias: 34, Count: 12
Vector 126: Weights: [-45.172031 -35.88562  -24.15364  -12.55669 ], Bias: 35, Count: 1
Vector 127: Weights: [-45.691501 -32.62232  -27.24314  -11.57177 ], Bias: 34, Count: 113
Vector 128: Weights: [-46.020701 -28.16712  -31.81494  -10.58297 ], Bias: 33, Count: 1
Vector 129: Weights: [-43.989701 -26.31512  -34.82704  -10.579967], Bias: 34, Count: 38
Vector 130: Weights: [-41.972001 -24.51692  -37.78514  -10.370067], Bias: 35, Count: 52
Vector 131: Weights: [-43.811101 -33.60522  -28.54354  -10.474387], Bias: 36, Count: 84
Vector 132: Weights: [-42.361001 -29.99852  -32.59924  -12.070987], Bias: 37, Count: 152
Vector 133: Weights: [-42.690241 -25.54332  -37.17104  -11.082187], Bias: 36, Count: 6
Vector 134: Weights: [-44.400641 -30.32132  -30.96014  -10.684787], Bias: 37, Count: 38
Vector 135: Weights: [-44.920141 -27.05802  -34.04964   -9.699887], Bias: 36, Count: 49
Vector 136: Weights: [-45.439641 -23.79472  -37.13914   -8.714987], Bias: 35, Count: 17
Vector 137: Weights: [-48.670141 -31.00822  -25.49584   -9.661117], Bias: 36, Count: 23
Vector 138: Weights: [-48.025421 -26.40202  -33.84284   -6.951217], Bias: 35, Count: 84
Vector 139: Weights: [-47.238521 -35.96832  -30.05614    0.552183], Bias: 34, Count: 5
